Easting,Northing
2951970.276,2539405.096
2966690.05,2617273.772
2952132.862,2539107.623
2972732.976,2631036
2973860.959,2632785.855
2972703.005,2631013.419
2972698.107,2631038.907
2973861.707,2632867.052
2928244.041,2484260.595
2976434.24,2819823.103
2972648.876,2631122.262
2972661.994,2631111.137
2987362.215,2657166.674
2936321.422,2497586.418
2934656.268,2461650.395
2936010.496,2460027.44
2967055.146,2618045.796
2934978.362,2496131.755
2936191.691,2496805.979
2936176.232,2496056.581
2936383.203,2496401.943
2936391.547,2496801.617
2936081.667,2496308.125
2935363.857,2495423.635
2935235.959,2494126.911
2935209.492,2495226.857
2935080.014,2496229.525
2935529.073,2493820.661
2936032.728,2494010.048
2936133.302,2494007.834
2936155.899,2495106.958
2941749.953,2517964.289
2933298.646,2476752.651
2932660.431,2478396.388
2933739.698,2476483.342
2941749.953,2517964.289
2988878.074,2937335.894
2941749.953,2517964.289
2988739.588,2940166.756
2986828.847,2943838.498
2941749.953,2517964.289
2986854.254,2942433.131
2986828.847,2943838.498
2988681.339,2936882.488
2987069.728,2943080.057
2986792.537,2937437.296
2987904.923,2937396.012
2991505.091,2947727.478
2991410.008,2947670.874
2969158.199,2620839.953
2968770.016,2620972.646
2941749.953,2517964.289
2978197.73,2636744.292
2988429.517,2929914.205
2987486.745,2932876.693
2986078.617,2933198.394
2990773.908,2936941.297
2988789.917,2654598.613
2971552.913,2623882.152
2971650.973,2623881.012
2971752.184,2623760.998
2971752.184,2623760.998
2989092.074,2655109.956
2901031.487,2492704.046
2901218.557,2492661.12
2783683.492,2657338.775
2987634.807,2941450.856
2986828.847,2943838.498
2982811.92,2645765.498
2935817.261,2481199.861
2949971.575,2550419.707
2910275.452,2490892.112
2940327.991,2517752.503
2966784.123,2615955.809
2936255.165,2497404.136
2978320.495,2640517.305
2937807.367,2514115.18
2934715,2460449.524
2935581.439,2460431.519
2936404.303,2462557.493
2936965.72,2462979.85
2936399.89,2497201.291
2965332.366,2613344.482
2932248.337,2494639.369
2973419.021,2795609.072
2973673.453,2795602.196
2977086.09,2800047.084
2976332.926,2800423.279
2976374.835,2800627.656
2792419.646,2576546.628
2792322.449,2575785.39
2973239.138,2795289.563
2973538.257,2795374.384
2971873.416,2797872.551
2976805.664,2799872.367
2976958.215,2799883.914
2976968.02,2800039.728
2976206.485,2800240.915
2972973.515,2795428.872
2962686.085,2598047.565
2985473.619,2647727.996
2989560.634,2685570.16
2991481.214,2910826.01
2987923.925,2905767.155
2970950.347,2769432.566
2902924.386,2516286.67
2974933.636,2845603.389
2974469.404,2845833.238
2963300.51,2599550.572
2971002.867,2623503.641
2988300.37,2904592.875
2989020.726,2855270.122
2931344.767,2476487.271
2931549.226,2477406.74
2967420.569,2616969.954
2973220.118,2631429.425
2939835.465,2515351.756
2941230.542,2517863.499
2974001.804,2630879.789
2941230.542,2517863.499
2941230.542,2517863.499
2941230.542,2517863.499
2971197.397,2622615.452
2941230.542,2517863.499
2941230.542,2517863.499
2986739.604,2650569.74
2986745.419,2650574.499
2986783.334,2650607.55
2986796.991,2650628.403
2986711.417,2650635.353
2986793.297,2650636.667
2986732.578,2650641.791
2986796.682,2650647.5
2986816.056,2650646.83
2986811.957,2650647.91
2986706.39,2650669.132
2986843.343,2650663.522
2986829.545,2650664.725
2986673.648,2650678.612
2941230.542,2517863.499
2941230.542,2517863.499
2941230.542,2517863.499
2941230.542,2517863.499
2941230.542,2517863.499
2941230.542,2517863.499
